"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Tokyo","Tokyo","35.6897","139.6922","Japan","JP","JPN","Tōkyō","primary","37977000","1392685764"
"Jakarta","Jakarta","-6.2146","106.8451","Indonesia","ID","IDN","Jakarta","primary","34540000","1360771077""Remetea","Remetea","46.7935","25.4503","Romania","RO","ROU","Harghita","","6165","1642971341"
"Baciu","Baciu","46.7928","23.5250","Romania","RO","ROU","Cluj","","6100","1642672484"
"Hamdallay","Hamdallay","13.5572","2.4064","Niger","NE","NER","Tillabéri","","6153","1562545290"
"Pattijoki","Pattijoki","64.6931","24.5750","Finland","FI","FIN","Pohjois-Pohjanmaa","","6163","1246332643"
"Ndendé","Ndende","-2.3829","11.3833","Gabon","GA","GAB","Ngounié","","6200","1266578957"
"El Palqui","El Palqui","-30.7679","-70.9433","Chile","CL","CHL","Coquimbo","","6175","1152942704"
"Chemodanovka","Chemodanovka","53.2353","45.2475","Russia","RU","RUS","Penzenskaya Oblast’","","6133","1643232511"
"Ban Chiang","Ban Chiang","17.3999","103.2259","Thailand","TH","THA","Udon Thani","","6025","1764697478"
"Douglas","Douglas","46.2819","-66.9420","Canada","CA","CAN","New Brunswick","","6154.00","1124000768"
"Sândominic","Sandominic","46.5833","25.7833","Romania","RO","ROU","Harghita","","6110","1642547522"
"Asoudié","Asoudie","14.3841","5.7345","Niger","NE","NER","Tahoua","","6007","1562931416"
"Ivanovka","Ivanovka","51.7183","55.1882","Russia","RU","RUS","Orenburgskaya Oblast’","","6129","1643572320"
"Umba","Umba","66.6814","34.3455","Russia","RU","RUS","Murmanskaya Oblast’","","6128","1643774657"
"Ahrarne","Ahrarne","45.0186","34.0544","Ukraine","UA","UKR","Krym, Avtonomna Respublika","","6034","1804651887"
"Sutysky","Sutysky","49.0422","28.4208","Ukraine","UA","UKR","Vinnyts’ka Oblast’","","6069","1804587551"
"Hollington","Hollington","50.8750","0.5480","United Kingdom","GB","GBR","East Sussex","","6099","1826944275"
"Sabon Birni","Sabon Birni","11.8847","3.5931","Niger","NE","NER","Dosso","","5970","1562857129"
"Apahida","Apahida","46.8078","23.7400","Romania","RO","ROU","Cluj","","5966","1642782471"
